onset_sec,duration_sec,pitch,velocity,track,channel,id
0.032291666,0.084375,48,47,0,0,n0
0.033333335,0.10625,74,63,0,0,n1
0.14895834,0.08229167,72,59,0,0,n2
0.24791667,0.071875,71,55,0,0,n3
0.33958334,0.11875,72,61,0,0,n4
0.48125,0.1,60,53,0,0,n5
0.48125,0.059375,71,63,0,0,n6
0.57916665,0.065625,72,60,0,0,n7
0.6625,0.108333334,71,68,0,0,n8
0.784375,0.07083333,72,64,0,0,n9
0.89479166,0.079166666,81,63,0,0,n10
0.896875,0.12916666,64,57,0,0,n11
1.0135417,0.108333334,79,67,0,0,n12
1.1260417,0.10520833,78,64,0,0,n13
1.2572917,0.10729167,79,64,0,0,n14
1.3760417,0.103125,60,45,0,0,n15
1.3916667,0.08541667,78,61,0,0,n16
1.5,0.06666667,79,67,0,0,n17
1.5989584,0.09375,78,65,0,0,n18
1.6947917,0.094791666,79,65,0,0,n19
1.8145833,0.12916666,80,67,0,0,n20
1.8489584,0.15729167,65,53,0,0,n21
1.9375,0.153125,81,71,0,0,n22
2.0635417,0.15104167,84,63,0,0,n23
2.1739583,0.11666667,83,61,0,0,n24
2.284375,0.121875,86,67,0,0,n25
2.3125,0.14479166,60,37,0,0,n26
2.390625,0.13020833,84,67,0,0,n27
2.496875,0.1,83,62,0,0,n28
2.5760417,0.055208333,81,67,0,0,n29
2.7479167,0.52916664,64,57,0,0,n30
2.75,0.083333336,81,71,0,0,n31
2.7510417,0.54479164,60,55,0,0,n32
2.8520834,0.119791664,79,65,0,0,n33
2.9864583,0.1125,88,75,0,0,n34
3.0822916,0.13333334,86,71,0,0,n35
3.2020833,0.13333334,84,64,0,0,n36
3.3125,0.096875,83,65,0,0,n37
3.4208333,0.067708336,81,61,0,0,n38
3.5239584,0.048958335,61,56,0,0,n39
3.5604167,0.032291666,79,64,0,0,n40
3.678125,0.110416666,79,71,0,0,n41
3.6864583,0.65208334,62,68,0,0,n42
3.8114583,0.092708334,77,64,0,0,n43
3.9229167,0.128125,86,79,0,0,n44
4.022917,0.24270834,84,68,0,0,n45
4.1520834,0.128125,83,60,0,0,n46
4.2541666,0.0875,81,66,0,0,n47
4.358333,0.065625,79,61,0,0,n48
4.4729166,0.052083332,59,57,0,0,n49
4.4791665,0.023958333,77,64,0,0,n50
4.602083,0.10625,77,68,0,0,n51
4.625,0.8364583,60,65,0,0,n52
4.7385416,0.13229166,76,63,0,0,n53
4.871875,0.128125,84,72,0,0,n54
4.978125,0.1625,83,71,0,0,n55
5.1145835,0.13958333,81,60,0,0,n56
5.2135415,0.10104167,79,61,0,0,n57
5.3166666,0.1,77,64,0,0,n58
5.4427085,0.12083333,76,61,0,0,n59
5.469792,0.16458334,57,51,0,0,n60
5.5760417,0.30208334,74,67,0,0,n61
5.6229167,0.47083333,53,59,0,0,n62
5.853125,0.228125,81,64,0,0,n63
6.086458,0.23645833,79,70,0,0,n64
6.101042,0.38854167,55,62,0,0,n65
6.3260417,0.25729167,71,63,0,0,n66
6.58125,0.584375,72,60,0,0,n67
6.6302085,0.16041666,60,48,0,0,n68
7.08125,0.21041666,48,53,0,0,n69
7.5427084,0.078125,81,56,0,0,n70
7.554167,0.092708334,64,63,0,0,n71
7.6458335,0.06458333,79,61,0,0,n72
7.772917,0.058333334,78,52,0,0,n73
7.866667,0.057291668,79,63,0,0,n74
7.967708,0.1625,78,64,0,0,n75
8.011458,0.28541666,55,61,0,0,n76
8.069792,0.11666667,79,59,0,0,n77
8.188541,0.12291667,81,64,0,0,n78
8.295834,0.0625,79,62,0,0,n79
8.465625,0.1,62,60,0,0,n80
8.46875,0.08125,79,64,0,0,n81
8.567708,0.110416666,77,59,0,0,n82
8.683333,0.09583333,76,67,0,0,n83
8.810416,0.08020833,77,64,0,0,n84
8.909375,0.12083333,55,53,0,0,n85
8.909375,0.09583333,76,65,0,0,n86
9.003125,0.08229167,77,61,0,0,n87
9.097917,0.10625,79,71,0,0,n88
9.20625,0.041666668,77,62,0,0,n89
9.34375,0.23020834,60,64,0,0,n90
9.359375,0.123958334,77,63,0,0,n91
9.446875,0.11145833,76,70,0,0,n92
9.56875,0.08125,75,69,0,0,n93
9.672916,0.08541667,76,65,0,0,n94
9.782291,0.115625,55,49,0,0,n95
9.782291,0.09375,75,65,0,0,n96
9.884375,0.09166667,76,68,0,0,n97
9.982291,0.09375,77,74,0,0,n98
10.064584,0.052083332,76,53,0,0,n99
10.207292,0.225,65,69,0,0,n100
10.225,0.079166666,76,75,0,0,n101
10.333333,0.08125,74,67,0,0,n102
10.45625,0.079166666,73,63,0,0,n103
10.558333,0.067708336,74,67,0,0,n104
10.677083,0.0875,73,53,0,0,n105
10.702084,0.08229167,55,53,0,0,n106
10.780209,0.061458334,74,65,0,0,n107
10.891666,0.058333334,76,62,0,0,n108
10.972917,0.061458334,74,69,0,0,n109
11.145833,0.08125,81,70,0,0,n110
11.146875,0.734375,64,50,0,0,n111
11.15625,0.73020834,55,46,0,0,n112
11.266666,0.08958333,79,67,0,0,n113
11.38125,0.096875,78,65,0,0,n114
11.491667,0.104166664,79,68,0,0,n115
11.594791,0.125,88,71,0,0,n116
11.710417,0.17916666,84,67,0,0,n117
11.816667,0.10625,81,65,0,0,n118
11.927083,0.05,79,64,0,0,n119
12.09375,0.06666667,79,63,0,0,n120
12.102083,0.67083335,55,36,0,0,n121
12.109375,0.69375,62,44,0,0,n122
12.192708,0.092708334,77,61,0,0,n123
12.322917,0.057291668,76,55,0,0,n124
12.41875,0.092708334,77,63,0,0,n125
12.526042,0.19375,86,70,0,0,n126
12.646875,0.13645834,83,64,0,0,n127
12.748959,0.083333336,79,67,0,0,n128
12.846875,0.058333334,77,60,0,0,n129
12.997916,0.07083333,77,56,0,0,n130
13.001041,0.48020834,60,55,0,0,n131
13.028125,0.48958334,55,44,0,0,n132
13.096875,0.098958336,76,65,0,0,n133
13.211458,0.10729167,75,66,0,0,n134
13.341666,0.0875,76,62,0,0,n135
13.436459,0.134375,84,64,0,0,n136
13.561459,0.12708333,79,66,0,0,n137
13.679167,0.1,77,52,0,0,n138
13.74375,0.26875,60,43,0,0,n139
13.780209,0.17395833,76,56,0,0,n140
13.972917,0.51979166,79,67,0,0,n141
13.978125,0.75208336,55,34,0,0,n142
14.001041,0.50625,64,46,0,0,n143
14.521875,0.19270833,76,44,0,0,n144
14.522917,0.18229167,60,35,0,0,n145
14.720834,0.45625,59,45,0,0,n146
14.733334,0.47604167,74,57,0,0,n147
15.411458,0.16354166,48,59,0,0,n148
15.423959,0.1125,74,56,0,0,n149
15.541667,0.0875,72,57,0,0,n150
15.640625,0.07395833,71,62,0,0,n151
15.75,0.104166664,72,51,0,0,n152
15.852083,0.051041666,60,59,0,0,n153
15.880208,0.065625,71,63,0,0,n154
16.013542,0.065625,72,56,0,0,n155
16.105207,0.088541664,71,66,0,0,n156
16.21875,0.063541666,72,59,0,0,n157
16.330208,0.096875,81,66,0,0,n158
16.3375,0.51770836,64,59,0,0,n159
16.463541,0.090625,79,69,0,0,n160
16.573957,0.0875,78,64,0,0,n161
16.6875,0.079166666,79,67,0,0,n162
16.8,0.0875,78,64,0,0,n163
16.810417,0.12916666,60,57,0,0,n164
16.907291,0.057291668,79,67,0,0,n165
17.023958,0.063541666,78,60,0,0,n166
17.110416,0.061458334,79,63,0,0,n167
17.220833,0.11354167,80,65,0,0,n168
17.242708,0.559375,65,62,0,0,n169
17.338541,0.13958333,81,64,0,0,n170
17.45625,0.13645834,84,60,0,0,n171
17.566668,0.108333334,83,56,0,0,n172
17.676043,0.11666667,86,68,0,0,n173
17.70625,0.15833333,60,48,0,0,n174
17.785418,0.12916666,84,63,0,0,n175
17.883333,0.1125,83,64,0,0,n176
17.978125,0.051041666,81,65,0,0,n177
18.148958,0.53020835,64,53,0,0,n178
18.15,0.5708333,60,50,0,0,n179
18.157291,0.096875,81,69,0,0,n180
18.264584,0.125,79,64,0,0,n181
18.402082,0.1125,88,68,0,0,n182
18.507292,0.15625,86,73,0,0,n183
18.625,0.15104167,84,65,0,0,n184
18.729166,0.098958336,83,66,0,0,n185
18.839582,0.052083332,81,63,0,0,n186
18.913542,0.052083332,61,49,0,0,n187
18.977083,0.026041666,79,58,0,0,n188
19.071875,0.65520835,62,69,0,0,n189
19.080208,0.11354167,79,77,0,0,n190
19.226042,0.09375,77,64,0,0,n191
19.341667,0.121875,86,77,0,0,n192
19.442709,0.16458334,84,73,0,0,n193
19.56875,0.13541667,83,64,0,0,n194
19.664583,0.07604167,81,67,0,0,n195
19.755209,0.045833334,79,59,0,0,n196
19.870832,0.036458332,77,68,0,0,n197
19.872917,0.053125,59,59,0,0,n198
20.002083,0.096875,77,68,0,0,n199
20.029167,0.59270835,60,66,0,0,n200
20.128124,0.104166664,76,65,0,0,n201
20.260416,0.12291667,84,78,0,0,n202
20.384375,0.125,83,73,0,0,n203
20.492708,0.121875,81,60,0,0,n204
20.582293,0.092708334,79,67,0,0,n205
20.688541,0.06875,77,59,0,0,n206
20.782291,0.13229166,57,57,0,0,n207
20.804167,0.10729167,76,67,0,0,n208
20.947916,0.278125,74,67,0,0,n209
20.961458,0.29166666,53,67,0,0,n210
21.216667,0.21666667,81,63,0,0,n211
21.440624,0.25208333,79,62,0,0,n212
21.45,0.16041666,55,52,0,0,n213
21.688541,0.23541667,71,58,0,0,n214
21.952084,0.640625,72,61,0,0,n215
21.954166,0.053125,60,56,0,0,n216
22.544792,0.31041667,48,51,0,0,n217
