TIME,VALUE,LABEL
0.000000000,38.000000000,pedal
0.004166667,39.000000000,pedal
0.044791665,41.000000000,pedal
0.065624997,44.000000000,pedal
0.084375001,49.000000000,pedal
0.104166664,60.000000000,pedal
0.127083331,75.000000000,pedal
0.145833328,91.000000000,pedal
0.164583340,119.000000000,pedal
0.184375003,127.000000000,pedal
0.443749994,119.000000000,pedal
0.464583337,94.000000000,pedal
0.484375000,83.000000000,pedal
0.505208313,77.000000000,pedal
0.524999976,75.000000000,pedal
0.543749988,72.000000000,pedal
0.564583361,69.000000000,pedal
0.585416675,67.000000000,pedal
0.605208337,66.000000000,pedal
0.664583325,65.000000000,pedal
0.904166639,66.000000000,pedal
1.004166722,65.000000000,pedal
1.044791698,64.000000000,pedal
1.065624952,63.000000000,pedal
1.084375024,62.000000000,pedal
1.104166627,61.000000000,pedal
1.125000000,60.000000000,pedal
1.145833373,58.000000000,pedal
1.325000048,59.000000000,pedal
1.364583373,60.000000000,pedal
1.705208302,61.000000000,pedal
1.723958373,62.000000000,pedal
1.744791627,63.000000000,pedal
1.764583349,65.000000000,pedal
1.785416722,71.000000000,pedal
1.806249976,82.000000000,pedal
1.823958278,97.000000000,pedal
1.844791651,127.000000000,pedal
2.244791746,112.000000000,pedal
2.265625000,99.000000000,pedal
2.284374952,89.000000000,pedal
2.304166555,81.000000000,pedal
2.325000048,77.000000000,pedal
2.345833302,75.000000000,pedal
2.364583254,72.000000000,pedal
2.384375095,69.000000000,pedal
2.405208349,67.000000000,pedal
2.424999952,64.000000000,pedal
2.444791555,63.000000000,pedal
2.464583397,62.000000000,pedal
2.484375000,61.000000000,pedal
2.584374905,64.000000000,pedal
2.605208397,70.000000000,pedal
2.625000000,82.000000000,pedal
2.643749952,101.000000000,pedal
2.664583445,127.000000000,pedal
3.204166651,101.000000000,pedal
3.224999905,85.000000000,pedal
3.244791746,75.000000000,pedal
3.264583349,71.000000000,pedal
3.284374952,69.000000000,pedal
3.304166555,66.000000000,pedal
3.325000048,64.000000000,pedal
3.344791651,62.000000000,pedal
3.363541603,60.000000000,pedal
3.463541746,62.000000000,pedal
3.484375000,65.000000000,pedal
3.504166603,73.000000000,pedal
3.525000095,87.000000000,pedal
3.545833349,109.000000000,pedal
3.564583302,127.000000000,pedal
4.064583302,101.000000000,pedal
4.085416794,82.000000000,pedal
4.104166508,73.000000000,pedal
4.125000000,69.000000000,pedal
4.144791603,65.000000000,pedal
4.164583206,61.000000000,pedal
