TIME,LABEL
0.023958333,0.0
0.451041669,1.0
0.866666675,2.0
1.309895873,3.0
1.741145849,4.0
2.197916746,5.0
2.658680677,6.0
3.131249905,7.0
3.591145754,8.0
4.061458111,9.0
4.515104294,10.0
4.983333111,11.0
5.443750381,12.0
5.933854103,13.0
6.406250000,14.0
6.884375095,15.0
7.384375095,16.0
7.832291603,17.0
8.301041603,18.0
8.736457825,19.0
9.173437119,20.0
9.618749619,21.0
10.066145897,22.0
10.534895897,23.0
10.997221947,24.0
11.454166412,25.0
11.963889122,26.0
12.394791603,27.0
12.899304390,28.0
13.339583397,29.0
13.877430916,30.0
14.520312309,31.0
15.068750381,32.0
15.514062881,33.0
15.948437691,34.0
16.399999619,35.0
16.856769562,36.0
17.303646088,37.0
17.759027481,38.0
18.251041412,39.0
18.729686737,40.0
19.191667557,41.0
19.656770706,42.0
20.134374619,43.0
20.635417938,44.0
21.156770706,45.0
21.663541794,46.0
22.269792557,47.0
