TIME,VALUE,DURATION,LEVEL,LABEL
0.022916667,48,0.075000003,0.8,n9-1
0.025000000,74,0.077083334,0.8,n1-1
0.137500003,72,0.086458333,0.8,n2-1
0.247916669,71,0.075000003,0.8,n3-1
0.340624988,72,0.094791666,0.8,n4-1
0.446875006,60,0.081249997,0.8,n10-1
0.455208331,71,0.075000003,0.8,n5-1
0.580208361,72,0.075000003,0.8,n6-1
0.653124988,71,0.102083333,0.8,n7-1
0.753125012,72,0.089583330,0.8,n8-1
0.853124976,64,0.128124997,0.8,n19-1
0.880208313,81,0.075000003,0.8,n11-1
0.978124976,79,0.101041667,0.8,n12-1
1.097916722,78,0.075000003,0.8,n13-1
1.200000048,79,0.078125000,0.8,n14-1
1.303125024,60,0.075000003,0.8,n20-1
1.316666722,78,0.079166666,0.8,n15-1
1.424999952,79,0.075000003,0.8,n16-1
1.529166698,78,0.075000003,0.8,n17-1
1.630208373,79,0.083333336,0.8,n18-1
1.736458302,80,0.114583336,0.8,n21-1
1.745833278,65,0.167708337,0.8,n29-1
1.842708349,81,0.121875003,0.8,n22-1
1.965625048,84,0.121875003,0.8,n23-1
2.072916746,83,0.112499997,0.8,n24-1
2.183333397,86,0.119791664,0.8,n25-1
2.212500095,60,0.164583340,0.8,n30-1
2.301041603,84,0.110416666,0.8,n26-1
2.397916555,83,0.097916670,0.8,n27-1
2.486458302,81,0.075000003,0.8,n28-1
2.655208349,60,0.484375000,0.8,n39-1
2.659374952,81,0.081249997,0.8,n31-1
2.661458254,64,0.452083319,0.8,n40-1
2.776041746,79,0.133333340,0.8,n32-1
2.906250000,88,0.126041666,0.8,n33-1
3.010416746,86,0.139583334,0.8,n34-1
3.131249905,84,0.126041666,0.8,n35-1
3.230208397,83,0.080208331,0.8,n36-1
3.323958397,81,0.075000003,0.8,n37-1
3.437500000,61,0.075000003,0.8,n42-1
3.456249952,79,0.075000003,0.8,n38-1
3.582291603,79,0.097916670,0.8,n43-1
3.599999905,62,0.612500012,0.8,n51-1
3.706249952,77,0.104166664,0.8,n44-1
3.832291603,86,0.115625001,0.8,n45-1
3.935416698,84,0.147916660,0.8,n46-1
4.061458111,83,0.129166663,0.8,n47-1
4.153124809,81,0.089583330,0.8,n48-1
4.270833492,79,0.075000003,0.8,n49-1
4.360416889,59,0.075000003,0.8,n53-1
4.364583492,77,0.075000003,0.8,n50-1
4.507291794,77,0.091666669,0.8,n54-1
4.522916794,60,0.653124988,0.8,n62-1
4.626041889,76,0.107291669,0.8,n55-1
4.746874809,84,0.136458337,0.8,n56-1
4.855208397,83,0.163541660,0.8,n57-1
4.983333111,81,0.120833330,0.8,n58-1
5.076041698,79,0.088541664,0.8,n59-1
5.185416698,77,0.088541664,0.8,n60-1
5.283333302,57,0.189583331,0.8,n64-1
5.292708397,76,0.105208330,0.8,n61-1
5.429166794,74,0.279166669,0.8,n65-1
5.458333492,53,0.491666675,0.8,n69-1
5.692708492,81,0.220833331,0.8,n66-1
5.923958302,79,0.208333328,0.8,n67-1
5.943749905,55,0.301041663,0.8,n70-1
6.150000095,71,0.243750006,0.8,n68-1
6.393750191,72,0.622916639,0.8,n71-1
6.418749809,60,0.129166663,0.8,n73-1
6.884375095,48,0.251041681,0.8,n74-1
7.382291794,81,0.075000003,0.8,n75-1
7.386458397,64,0.092708334,0.8,n83-1
7.482291698,79,0.075000003,0.8,n76-1
7.615624905,78,0.075000003,0.8,n77-1
7.710416794,79,0.075000003,0.8,n78-1
7.824999809,78,0.114583336,0.8,n79-1
7.839583397,55,0.090625003,0.8,n84-1
7.928124905,79,0.093750000,0.8,n80-1
8.050000191,81,0.103124999,0.8,n81-1
8.134374619,79,0.075000003,0.8,n82-1
8.289583206,62,0.123958334,0.8,n93-1
8.312500000,79,0.096874997,0.8,n85-1
8.404166222,77,0.079166666,0.8,n86-1
8.507291794,76,0.088541664,0.8,n87-1
8.651041985,77,0.075000003,0.8,n88-1
8.721875191,76,0.100000001,0.8,n89-1
8.751041412,55,0.103124999,0.8,n94-1
8.824999809,77,0.082291670,0.8,n90-1
8.930208206,79,0.112499997,0.8,n91-1
9.046875000,77,0.075000003,0.8,n92-1
9.167708397,60,0.145833328,0.8,n103-1
9.179166794,77,0.122916669,0.8,n95-1
9.287500381,76,0.092708334,0.8,n96-1
9.397916794,75,0.083333336,0.8,n97-1
