onset_sec,duration_sec,pitch,velocity,track,channel,id
0.1625,0.054166667,48,60,0,0,n0
0.16666667,0.047916666,74,58,0,0,n1
0.25208333,0.063541666,72,62,0,0,n2
0.35416666,0.045833334,71,59,0,0,n3
0.44375,0.05625,72,57,0,0,n4
0.51666665,0.063541666,60,55,0,0,n5
0.5239583,0.055208333,71,61,0,0,n6
0.615625,0.034375,72,55,0,0,n7
0.69166666,0.08645833,71,65,0,0,n8
0.77708334,0.057291668,72,59,0,0,n9
0.87604165,0.083333336,81,62,0,0,n10
0.8854167,0.071875,64,53,0,0,n11
0.9927083,0.079166666,79,69,0,0,n12
1.0833334,0.053125,78,63,0,0,n13
1.175,0.061458334,79,50,0,0,n14
1.2697917,0.067708336,78,62,0,0,n15
1.278125,0.057291668,60,50,0,0,n16
1.36875,0.045833334,79,66,0,0,n17
1.465625,0.048958335,78,61,0,0,n18
1.5458333,0.053125,79,65,0,0,n19
1.6385417,0.06458333,65,46,0,0,n20
1.6541667,0.08958333,80,62,0,0,n21
1.7458333,0.10729167,81,63,0,0,n22
1.8572917,0.128125,84,64,0,0,n23
1.9666667,0.08958333,83,52,0,0,n24
1.990625,0.13854167,60,39,0,0,n25
2.0427084,0.11666667,86,61,0,0,n26
2.140625,0.115625,84,67,0,0,n27
2.221875,0.055208333,83,63,0,0,n28
2.2885416,0.0375,81,65,0,0,n29
2.4333334,0.072916664,81,71,0,0,n30
2.434375,0.415625,60,44,0,0,n31
2.4364583,0.39583334,64,47,0,0,n32
2.5385416,0.09375,79,67,0,0,n33
2.6489584,0.10520833,88,67,0,0,n34
2.7364583,0.13125,86,71,0,0,n35
2.83125,0.110416666,84,62,0,0,n36
2.896875,0.08125,83,68,0,0,n37
2.9864583,0.042708334,81,60,0,0,n38
3.0677083,0.04375,61,59,0,0,n39
3.1052084,0.033333335,79,69,0,0,n40
3.2354167,0.08229167,79,69,0,0,n41
3.2395833,0.46979168,62,67,0,0,n42
3.3333333,0.09583333,77,68,0,0,n43
3.45,0.10729167,86,75,0,0,n44
3.5322917,0.15,84,68,0,0,n45
3.6385417,0.110416666,83,62,0,0,n46
3.7072916,0.06875,81,67,0,0,n47
3.7947917,0.029166667,79,55,0,0,n48
3.8864584,0.0625,59,60,0,0,n49
3.9041667,0.036458332,77,67,0,0,n50
4.021875,0.108333334,77,68,0,0,n51
4.055208,0.4375,60,60,0,0,n52
4.140625,0.092708334,76,71,0,0,n53
4.2604165,0.11770833,84,73,0,0,n54
4.351042,0.15520833,83,70,0,0,n55
4.469792,0.092708334,81,56,0,0,n56
4.5135417,0.0875,79,68,0,0,n57
4.6072917,0.067708336,77,62,0,0,n58
4.7145834,0.08645833,57,57,0,0,n59
4.7208333,0.110416666,76,65,0,0,n60
4.8458333,0.26354167,74,69,0,0,n61
4.8770833,0.2875,53,60,0,0,n62
5.065625,0.21666667,81,67,0,0,n63
5.2833333,0.171875,79,68,0,0,n64
5.321875,0.11770833,55,56,0,0,n65
5.4979167,0.18541667,71,61,0,0,n66
5.6822915,0.058333334,60,58,0,0,n67
5.703125,0.56354165,72,59,0,0,n68
5.9166665,0.05625,55,57,0,0,n69
6.102083,0.047916666,52,56,0,0,n70
6.3010416,0.054166667,55,58,0,0,n71
6.5020833,0.06458333,48,64,0,0,n72
6.5114584,0.08020833,74,63,0,0,n73
6.594792,0.060416665,72,58,0,0,n74
6.690625,0.048958335,71,55,0,0,n75
6.790625,0.063541666,72,58,0,0,n76
6.8802085,0.065625,71,55,0,0,n77
6.884375,0.08645833,60,47,0,0,n78
7.009375,0.036458332,72,47,0,0,n79
7.096875,0.077083334,71,59,0,0,n80
7.1666665,0.078125,72,58,0,0,n81
7.266667,0.103125,64,46,0,0,n82
7.282292,0.0625,81,58,0,0,n83
7.4,0.083333336,79,68,0,0,n84
7.501042,0.048958335,78,62,0,0,n85
7.5989585,0.059375,79,56,0,0,n86
7.657292,0.060416665,60,48,0,0,n87
7.6822915,0.060416665,78,65,0,0,n88
7.7770834,0.051041666,79,67,0,0,n89
7.8802085,0.045833334,78,59,0,0,n90
7.961458,0.052083332,79,65,0,0,n91
8.0625,0.057291668,65,49,0,0,n92
8.065625,0.08020833,80,63,0,0,n93
8.159375,0.108333334,81,65,0,0,n94
8.26875,0.15208334,84,64,0,0,n95
8.379167,0.108333334,83,58,0,0,n96
8.491667,0.110416666,60,45,0,0,n97
8.49375,0.10520833,86,63,0,0,n98
8.573958,0.115625,84,64,0,0,n99
8.651042,0.08645833,83,66,0,0,n100
8.747916,0.03125,81,55,0,0,n101
8.886458,0.08958333,81,68,0,0,n102
8.902083,0.47604167,60,48,0,0,n103
8.909375,0.43854168,64,44,0,0,n104
8.99375,0.09375,79,65,0,0,n105
9.109375,0.104166664,88,68,0,0,n106
9.19375,0.15625,86,69,0,0,n107
9.3,0.114583336,84,60,0,0,n108
9.366667,0.08958333,83,63,0,0,n109
9.475,0.04375,81,58,0,0,n110
9.566667,0.040625,61,59,0,0,n111
9.584375,0.022916667,79,67,0,0,n112
9.7125,0.08541667,79,67,0,0,n113
9.723958,0.5,62,67,0,0,n114
9.814584,0.09583333,77,67,0,0,n115
9.932292,0.108333334,86,78,0,0,n116
10.014584,0.15416667,84,69,0,0,n117
10.119792,0.09583333,83,63,0,0,n118
10.170834,0.075,81,68,0,0,n119
10.267709,0.033333335,79,60,0,0,n120
10.359375,0.034375,77,70,0,0,n121
10.367708,0.06979167,59,62,0,0,n122
10.485416,0.09375,77,72,0,0,n123
10.530209,0.45,60,67,0,0,n124
10.589583,0.088541664,76,67,0,0,n125
10.702084,0.11875,84,71,0,0,n126
10.791667,0.16145833,83,67,0,0,n127
10.892709,0.110416666,81,62,0,0,n128
10.972917,0.08020833,79,66,0,0,n129
11.070833,0.046875,77,61,0,0,n130
11.169791,0.07604167,57,50,0,0,n131
11.175,0.119791664,76,65,0,0,n132
11.315625,0.24895833,74,62,0,0,n133
11.330209,0.43333334,53,59,0,0,n134
11.563541,0.225,81,58,0,0,n135
11.779166,0.22395833,79,60,0,0,n136
11.81875,0.171875,55,50,0,0,n137
12.0125,0.20625,71,51,0,0,n138
12.240625,0.5052083,72,50,0,0,n139
12.25,0.17708333,60,46,0,0,n140
12.702084,0.14166667,48,50,0,0,n141
13.109375,0.055208333,81,63,0,0,n142
13.125,0.098958336,64,53,0,0,n143
13.210417,0.05,79,61,0,0,n144
