onset_sec,duration_sec,pitch,velocity,track,channel,id
0.054166667,0.05625,74,60,0,0,n0
0.05625,0.060416665,48,64,0,0,n1
0.13541667,0.048958335,72,59,0,0,n2
0.21354167,0.047916666,71,60,0,0,n3
0.28854167,0.0625,72,61,0,0,n4
0.38020834,0.046875,71,62,0,0,n5
0.409375,0.055208333,60,59,0,0,n6
0.475,0.028125,72,53,0,0,n7
0.52708334,0.079166666,71,68,0,0,n8
0.60729164,0.040625,72,61,0,0,n9
0.675,0.078125,81,71,0,0,n10
0.70729166,0.044791665,64,64,0,0,n11
0.803125,0.060416665,79,63,0,0,n12
0.8822917,0.05,78,67,0,0,n13
0.95625,0.061458334,79,56,0,0,n14
1.0208334,0.045833334,60,60,0,0,n15
1.040625,0.052083332,78,71,0,0,n16
1.128125,0.053125,79,64,0,0,n17
1.2072917,0.055208333,78,72,0,0,n18
1.2875,0.044791665,79,74,0,0,n19
1.3364583,0.05,65,57,0,0,n20
1.3770833,0.059375,80,70,0,0,n21
1.4635416,0.090625,81,75,0,0,n22
1.5604167,0.096875,84,64,0,0,n23
1.6229167,0.090625,83,62,0,0,n24
1.6729167,0.061458334,60,53,0,0,n25
1.715625,0.10520833,86,62,0,0,n26
1.7864584,0.08958333,84,73,0,0,n27
1.8604167,0.026041666,83,60,0,0,n28
1.915625,0.026041666,81,58,0,0,n29
2.0145833,0.446875,60,62,0,0,n30
2.0145833,0.43333334,64,60,0,0,n31
2.028125,0.07083333,81,75,0,0,n32
2.11875,0.077083334,79,74,0,0,n33
2.2208333,0.108333334,88,75,0,0,n34
2.290625,0.13333334,86,71,0,0,n35
2.3770833,0.088541664,84,67,0,0,n36
2.43125,0.071875,83,69,0,0,n37
2.49375,0.041666668,81,65,0,0,n38
2.6041667,0.041666668,61,67,0,0,n39
2.6114583,0.038541667,79,78,0,0,n40
2.7208333,0.44583333,62,69,0,0,n41
2.7333333,0.079166666,79,85,0,0,n42
2.8447917,0.096875,77,80,0,0,n43
2.9447916,0.13333334,86,73,0,0,n44
3.021875,0.15208334,84,70,0,0,n45
3.1208334,0.06666667,83,68,0,0,n46
3.1895833,0.036458332,81,61,0,0,n47
3.2364583,0.036458332,79,69,0,0,n48
3.346875,0.06979167,59,64,0,0,n49
3.3541667,0.027083334,77,70,0,0,n50
3.453125,0.104166664,77,79,0,0,n51
3.46875,0.42083332,60,69,0,0,n52
3.571875,0.08958333,76,73,0,0,n53
3.6625,0.110416666,84,73,0,0,n54
3.7333333,0.12291667,83,67,0,0,n55
3.8114583,0.06666667,81,64,0,0,n56
3.8635416,0.054166667,79,73,0,0,n57
3.9333334,0.041666668,77,67,0,0,n58
4.0333333,0.06666667,76,70,0,0,n59
4.034375,0.108333334,57,58,0,0,n60
4.133333,0.22083333,74,73,0,0,n61
4.1541667,0.33541667,53,75,0,0,n62
4.3479166,0.20104167,81,71,0,0,n63
4.530208,0.15,79,75,0,0,n64
4.539583,0.13125,55,68,0,0,n65
4.704167,0.25520834,71,67,0,0,n66
4.9114585,0.33333334,72,68,0,0,n67
4.9270835,0.12083333,60,67,0,0,n68
5.273958,0.103125,48,68,0,0,n69
5.586458,0.041666668,81,64,0,0,n70
5.594792,0.103125,64,62,0,0,n71
5.653125,0.06979167,79,68,0,0,n72
5.7635417,0.039583333,78,67,0,0,n73
5.852083,0.044791665,79,62,0,0,n74
5.91875,0.078125,78,67,0,0,n75
5.952083,0.088541664,55,55,0,0,n76
5.9895835,0.08541667,79,68,0,0,n77
6.069792,0.084375,81,61,0,0,n78
6.1302085,0.04375,79,51,0,0,n79
6.265625,0.17083333,62,67,0,0,n80
6.2697916,0.06979167,79,81,0,0,n81
6.3552084,0.039583333,77,71,0,0,n82
6.43125,0.047916666,76,68,0,0,n83
6.508333,0.045833334,77,64,0,0,n84
6.577083,0.079166666,76,77,0,0,n85
6.626042,0.061458334,55,51,0,0,n86
6.678125,0.026041666,77,58,0,0,n87
6.715625,0.096875,79,73,0,0,n88
6.805208,0.0375,77,64,0,0,n89
6.9239583,0.12708333,77,69,0,0,n90
6.9322915,0.11875,60,68,0,0,n91
7.025,0.048958335,76,64,0,0,n92
7.092708,0.029166667,75,63,0,0,n93
7.1770835,0.060416665,76,67,0,0,n94
7.246875,0.08125,75,56,0,0,n95
7.28125,0.067708336,55,56,0,0,n96
7.351042,0.052083332,76,63,0,0,n97
7.407292,0.08020833,77,74,0,0,n98
7.5958333,0.079166666,76,61,0,0,n99
7.5989585,0.09791667,65,66,0,0,n100
7.7052083,0.07395833,74,67,0,0,n101
7.7864585,0.055208333,73,74,0,0,n102
7.896875,0.04375,74,62,0,0,n103
7.9625,0.08541667,73,68,0,0,n104
8.017709,0.039583333,55,50,0,0,n105
8.05,0.07083333,74,69,0,0,n106
8.140625,0.05625,76,70,0,0,n107
8.20625,0.075,74,65,0,0,n108
8.323958,0.55833334,55,60,0,0,n109
8.325,0.56145835,64,65,0,0,n110
8.34375,0.0625,81,68,0,0,n111
8.545834,0.054166667,78,66,0,0,n112
8.619792,0.08645833,79,79,0,0,n113
8.698958,0.15,88,75,0,0,n114
8.792708,0.10729167,84,69,0,0,n115
8.867708,0.04375,81,71,0,0,n116
8.911458,0.040625,79,71,0,0,n117
9.041667,0.54270834,55,61,0,0,n118
9.046875,0.546875,62,63,0,0,n119
9.054167,0.063541666,79,75,0,0,n120
9.111459,0.088541664,77,72,0,0,n121
9.229167,0.04375,76,70,0,0,n122
9.307292,0.11354167,77,61,0,0,n123
9.403125,0.1625,86,75,0,0,n124
9.490625,0.110416666,83,68,0,0,n125
9.56875,0.055208333,79,69,0,0,n126
9.608334,0.048958335,77,69,0,0,n127
9.753125,0.41979167,60,66,0,0,n128
9.754167,0.44479167,55,63,0,0,n129
9.75625,0.06875,77,68,0,0,n130
9.820833,0.0875,76,72,0,0,n131
9.941667,0.07083333,75,72,0,0,n132
10.01875,0.114583336,76,65,0,0,n133
