onset_sec,duration_sec,pitch,velocity,track,channel,id
0.027083334,0.051041666,48,52,0,0,n0
0.038541667,0.067708336,74,61,0,0,n1
0.13645834,0.06979167,72,60,0,0,n2
0.25,0.035416666,71,51,0,0,n3
0.32708332,0.078125,72,56,0,0,n4
0.41354167,0.072916664,71,53,0,0,n5
0.43854168,0.07395833,60,48,0,0,n6
0.54270834,0.044791665,72,49,0,0,n7
0.62291664,0.067708336,71,65,0,0,n8
0.71875,0.054166667,72,58,0,0,n9
0.81145835,0.096875,81,60,0,0,n10
0.84791666,0.10104167,64,53,0,0,n11
0.93333334,0.092708334,79,60,0,0,n12
1.0447917,0.06666667,78,62,0,0,n13
1.1427083,0.08020833,79,58,0,0,n14
1.2479167,0.06666667,78,65,0,0,n15
1.25,0.0625,60,49,0,0,n16
1.3458333,0.0625,79,59,0,0,n17
1.4552083,0.08125,78,58,0,0,n18
1.5395833,0.07604167,79,66,0,0,n19
