TIME,LABEL
0.164583325,0.0
0.520312488,1.0
0.880729198,2.0
1.273958445,3.0
1.646354198,4.0
2.016666651,5.0
2.434722185,6.0
2.831249952,7.0
3.237499952,8.0
3.638541698,9.0
4.038541794,10.0
4.469791889,11.0
4.861458302,12.0
5.302604198,13.0
5.692708015,14.0
6.102083206,15.0
6.506771088,16.0
6.882291794,17.0
7.274479389,18.0
7.669791698,19.0
8.064062119,20.0
8.492708206,21.0
8.899306297,22.0
9.300000191,23.0
9.718229294,24.0
10.119791985,25.0
10.507812500,26.0
10.892708778,27.0
11.322916985,28.0
11.798957825,29.0
12.245312691,30.0
12.702083588,31.0
13.117187500,32.0
13.505729675,33.0
13.904687881,34.0
14.281770706,35.0
14.668229103,36.0
15.069791794,37.0
15.493228912,38.0
15.916666031,39.0
16.339582443,40.0
16.744791031,41.0
17.171875000,42.0
17.570833206,43.0
17.983680725,44.0
18.376041412,45.0
18.891319275,46.0
19.598438263,47.0
20.228126526,48.0
20.608333588,49.0
20.985939026,50.0
21.390625000,51.0
21.782812119,52.0
22.182811737,53.0
22.597223282,54.0
23.029167175,55.0
23.440624237,56.0
23.868749619,57.0
24.278644562,58.0
24.690624237,59.0
25.114063263,60.0
25.550519943,61.0
26.025001526,62.0
26.470832825,63.0
26.932292938,64.0
27.334375381,65.0
27.746875763,66.0
28.142189026,67.0
28.530729294,68.0
28.929166794,69.0
29.331771851,70.0
29.747394562,71.0
30.161804199,72.0
30.580207825,73.0
31.029512405,74.0
31.437500000,75.0
31.852777481,76.0
32.255207062,77.0
32.739929199,78.0
33.470832825,79.0
34.045833588,80.0
34.448440552,81.0
34.846878052,82.0
35.277603149,83.0
35.690628052,84.0
36.102085114,85.0
36.539581299,86.0
36.931251526,87.0
37.372398376,88.0
37.787498474,89.0
38.189582825,90.0
38.619792938,91.0
39.058853149,92.0
39.532814026,93.0
40.023956299,94.0
40.497917175,95.0
