TIME,VALUE,DURATION,LEVEL,LABEL
0.054166667,74,0.075000003,0.8,n1-1
0.056249999,48,0.075000003,0.8,n9-1
0.135416672,72,0.075000003,0.8,n2-1
0.213541672,71,0.075000003,0.8,n3-1
0.288541675,72,0.075000003,0.8,n4-1
0.380208343,71,0.075000003,0.8,n5-1
0.409375012,60,0.075000003,0.8,n10-1
0.474999994,72,0.075000003,0.8,n6-1
0.527083337,71,0.079166666,0.8,n7-1
0.607291639,72,0.075000003,0.8,n8-1
0.675000012,81,0.078125000,0.8,n11-1
0.707291663,64,0.075000003,0.8,n19-1
0.803125024,79,0.075000003,0.8,n12-1
0.882291675,78,0.075000003,0.8,n13-1
0.956250012,79,0.075000003,0.8,n14-1
1.020833373,60,0.075000003,0.8,n20-1
1.040624976,78,0.075000003,0.8,n15-1
1.128124952,79,0.075000003,0.8,n16-1
1.207291722,78,0.075000003,0.8,n17-1
1.287500024,79,0.075000003,0.8,n18-1
1.336458325,65,0.075000003,0.8,n29-1
1.377083302,80,0.075000003,0.8,n21-1
1.463541627,81,0.090625003,0.8,n22-1
1.560416698,84,0.096874997,0.8,n23-1
1.622916698,83,0.090625003,0.8,n24-1
1.672916651,60,0.075000003,0.8,n30-1
1.715625048,86,0.105208330,0.8,n25-1
1.786458373,84,0.089583330,0.8,n26-1
1.860416651,83,0.075000003,0.8,n27-1
1.915624976,81,0.075000003,0.8,n28-1
2.014583349,60,0.446875006,0.8,n39-1
2.014583349,64,0.433333337,0.8,n40-1
2.028125048,81,0.075000003,0.8,n31-1
2.118750095,79,0.077083334,0.8,n32-1
2.220833302,88,0.108333334,0.8,n33-1
2.290625095,86,0.133333340,0.8,n34-1
2.377083302,84,0.088541664,0.8,n35-1
2.431250095,83,0.075000003,0.8,n36-1
2.493750095,81,0.075000003,0.8,n37-1
2.604166746,61,0.075000003,0.8,n42-1
2.611458302,79,0.075000003,0.8,n38-1
2.720833302,62,0.445833325,0.8,n51-1
2.733333349,79,0.079166666,0.8,n43-1
2.844791651,77,0.096874997,0.8,n44-1
2.944791555,86,0.133333340,0.8,n45-1
3.021874905,84,0.152083337,0.8,n46-1
3.120833397,83,0.075000003,0.8,n47-1
3.189583302,81,0.075000003,0.8,n48-1
3.236458302,79,0.075000003,0.8,n49-1
3.346874952,59,0.075000003,0.8,n53-1
3.354166746,77,0.075000003,0.8,n50-1
3.453125000,77,0.104166664,0.8,n54-1
3.468750000,60,0.420833319,0.8,n62-1
3.571875095,76,0.089583330,0.8,n55-1
3.662499905,84,0.110416666,0.8,n56-1
3.733333349,83,0.122916669,0.8,n57-1
3.811458349,81,0.075000003,0.8,n58-1
3.863541603,79,0.075000003,0.8,n59-1
3.933333397,77,0.075000003,0.8,n60-1
4.033333302,76,0.075000003,0.8,n61-1
4.034375191,57,0.108333334,0.8,n64-1
4.133333206,74,0.220833331,0.8,n65-1
4.154166698,53,0.335416675,0.8,n69-1
4.347916603,81,0.201041669,0.8,n66-1
4.530208111,79,0.150000006,0.8,n67-1
4.539583206,55,0.131249994,0.8,n70-1
4.704166889,71,0.255208343,0.8,n68-1
4.911458492,72,0.333333343,0.8,n71-1
4.927083492,60,0.120833330,0.8,n73-1
5.273958206,48,0.103124999,0.8,n74-1
5.586458206,81,0.075000003,0.8,n75-1
5.594791889,64,0.103124999,0.8,n83-1
5.653124809,79,0.075000003,0.8,n76-1
5.763541698,78,0.075000003,0.8,n77-1
5.852083206,79,0.075000003,0.8,n78-1
5.918749809,78,0.078125000,0.8,n79-1
5.952083111,55,0.088541664,0.8,n84-1
5.989583492,79,0.085416667,0.8,n80-1
6.069791794,81,0.084375001,0.8,n81-1
6.130208492,79,0.075000003,0.8,n82-1
6.265625000,62,0.170833334,0.8,n93-1
6.269791603,79,0.075000003,0.8,n85-1
6.355208397,77,0.075000003,0.8,n86-1
6.431250095,76,0.075000003,0.8,n87-1
6.508333206,77,0.075000003,0.8,n88-1
6.577083111,76,0.079166666,0.8,n89-1
6.626041889,55,0.075000003,0.8,n94-1
6.678124905,77,0.075000003,0.8,n90-1
6.715624809,79,0.096874997,0.8,n91-1
6.805208206,77,0.075000003,0.8,n92-1
6.923958302,77,0.127083331,0.8,n95-1
6.932291508,60,0.118749999,0.8,n103-1
7.025000095,76,0.075000003,0.8,n96-1
7.092708111,75,0.075000003,0.8,n97-1
7.177083492,76,0.075000003,0.8,n98-1
7.246874809,75,0.081249997,0.8,n99-1
7.281250000,55,0.075000003,0.8,n104-1
7.351041794,76,0.075000003,0.8,n100-1
7.407291889,77,0.080208331,0.8,n101-1
7.595833302,76,0.079166666,0.8,n102-1
7.598958492,65,0.097916670,0.8,n113-1
7.705208302,74,0.075000003,0.8,n106-1
7.786458492,73,0.075000003,0.8,n107-1
7.896874905,74,0.075000003,0.8,n108-1
7.962500095,73,0.085416667,0.8,n109-1
8.017708778,55,0.075000003,0.8,n114-1
8.050000191,74,0.075000003,0.8,n110-1
8.140625000,76,0.075000003,0.8,n111-1
8.206250191,74,0.075000003,0.8,n112-1
8.323958397,55,0.558333337,0.8,n123-1
8.324999809,64,0.561458349,0.8,n124-1
8.343750000,81,0.075000003,0.8,n115-1
8.545833588,78,0.075000003,0.8,n117-1
8.619791985,79,0.086458333,0.8,n118-1
8.698958397,88,0.150000006,0.8,n119-1
8.792708397,84,0.107291669,0.8,n120-1
