TIME,LABEL
0.020312499,0.0
0.338020831,1.0
0.653124988,2.0
1.000000000,3.0
1.336458325,4.0
1.673437476,5.0
1.996874928,6.0
2.365624905,7.0
2.747395992,8.0
3.107291698,9.0
3.456249952,10.0
3.791666746,11.0
4.098958015,12.0
4.461458206,13.0
4.825520515,14.0
5.153124809,15.0
5.491666794,16.0
5.827083588,17.0
6.202083588,18.0
6.547395706,19.0
6.887499809,20.0
7.229166985,21.0
7.564062119,22.0
7.928124905,23.0
8.285068512,24.0
8.658333778,25.0
9.021180153,26.0
9.372916222,27.0
9.725000381,28.0
10.089583397,29.0
10.457291603,30.0
10.890625000,31.0
11.213541031,32.0
11.541666031,33.0
11.861457825,34.0
12.219791412,35.0
12.565103531,36.0
12.902604103,37.0
13.238888741,38.0
13.574999809,39.0
13.931770325,40.0
14.271875381,41.0
14.607292175,42.0
14.947916985,43.0
15.256771088,44.0
15.655208588,45.0
16.048437119,46.0
16.431249619,47.0
