TIME,VALUE,DURATION,LEVEL,LABEL
0.015625000,74,0.235416666,0.8,n1-1
0.019791666,48,0.518750012,0.8,n9-1
0.259375006,72,0.173958331,0.8,n2-1
0.436458319,71,0.213541672,0.8,n3-1
0.668749988,72,0.211458340,0.8,n4-1
0.881250024,71,0.185416669,0.8,n5-1
0.897916675,60,0.917708337,0.8,n10-1
1.086458325,72,0.164583340,0.8,n6-1
1.274999976,71,0.253125012,0.8,n7-1
1.511458278,72,0.180208340,0.8,n8-1
1.720833302,81,0.150000006,0.8,n11-1
1.741666675,64,0.812500000,0.8,n19-1
1.909374952,79,0.215625003,0.8,n12-1
2.144791603,78,0.151041672,0.8,n13-1
2.306250095,79,0.191666663,0.8,n14-1
2.543750048,78,0.133333340,0.8,n15-1
2.553124905,60,0.787500024,0.8,n20-1
2.688541651,79,0.205208331,0.8,n16-1
2.931250095,78,0.148958340,0.8,n17-1
3.096874952,79,0.179166660,0.8,n18-1
3.317708254,80,0.230208337,0.8,n21-1
3.380208254,65,0.945833325,0.8,n29-1
3.542708397,81,0.273958325,0.8,n22-1
3.745833397,84,0.221874997,0.8,n23-1
3.935416698,83,0.231250003,0.8,n24-1
4.132291794,86,0.248958334,0.8,n25-1
4.207291603,60,0.388541669,0.8,n30-1
4.352083206,84,0.278124988,0.8,n26-1
4.594791889,83,0.192708328,0.8,n27-1
4.783333302,81,0.081249997,0.8,n28-1
5.015625000,81,0.210416660,0.8,n31-1
5.034375191,64,1.383333325,0.8,n40-1
5.037499905,60,1.403125048,0.8,n39-1
5.224999905,79,0.235416666,0.8,n32-1
5.436458111,88,0.196875006,0.8,n33-1
5.620833397,86,0.349999994,0.8,n34-1
5.863541603,84,0.234375000,0.8,n35-1
6.057291508,83,0.201041669,0.8,n36-1
6.270833492,81,0.110416666,0.8,n37-1
6.462500095,61,0.121875003,0.8,n42-1
6.463541508,79,0.075000003,0.8,n38-1
6.669791698,62,1.382291675,0.8,n51-1
6.670833111,79,0.145833328,0.8,n43-1
6.848958492,77,0.210416660,0.8,n44-1
7.057291508,86,0.202083334,0.8,n45-1
7.238541603,84,0.289583325,0.8,n46-1
7.459374905,83,0.245833337,0.8,n47-1
7.661458492,81,0.189583331,0.8,n48-1
7.868750095,79,0.128124997,0.8,n49-1
8.073958397,59,0.122916669,0.8,n53-1
8.074999809,77,0.075000003,0.8,n50-1
8.280208588,77,0.200000003,0.8,n54-1
8.280208588,60,1.259374976,0.8,n62-1
8.500000000,76,0.208333328,0.8,n55-1
8.691666603,84,0.218750000,0.8,n56-1
8.858333588,83,0.264583319,0.8,n57-1
9.092708588,81,0.219791666,0.8,n58-1
9.295833588,79,0.167708337,0.8,n59-1
9.492708206,77,0.177083328,0.8,n60-1
9.569791794,57,0.428124994,0.8,n64-1
9.679166794,76,0.269791663,0.8,n61-1
9.954166412,74,0.502083361,0.8,n65-1
9.994791985,53,0.721875012,0.8,n69-1
10.370833397,81,0.501041651,0.8,n66-1
10.747916222,55,0.834375024,0.8,n70-1
10.755208015,79,0.434374988,0.8,n67-1
11.161458015,71,0.376041681,0.8,n68-1
11.553125381,72,1.158333302,0.8,n71-1
11.595833778,60,0.458333343,0.8,n73-1
12.495833397,48,0.410416663,0.8,n74-1
13.379166603,81,0.179166660,0.8,n75-1
13.415624619,64,0.896875024,0.8,n83-1
13.584375381,79,0.207291663,0.8,n76-1
13.817708015,78,0.218750000,0.8,n77-1
14.046875000,79,0.235416666,0.8,n78-1
14.293749809,55,0.802083313,0.8,n84-1
14.294791222,78,0.228125006,0.8,n79-1
14.481249809,79,0.244791672,0.8,n80-1
14.703125000,81,0.217708334,0.8,n81-1
14.890625000,79,0.101041667,0.8,n82-1
15.138541222,62,0.934374988,0.8,n93-1
15.144791603,79,0.200000003,0.8,n85-1
15.345833778,77,0.191666663,0.8,n86-1
15.550000191,76,0.226041660,0.8,n87-1
15.780208588,77,0.177083328,0.8,n88-1
15.943750381,76,0.231250003,0.8,n89-1
16.005208969,55,0.668749988,0.8,n94-1
16.144792557,77,0.212500006,0.8,n90-1
16.363542557,79,0.218750000,0.8,n91-1
16.575000763,77,0.080208331,0.8,n92-1
16.806249619,77,0.167708337,0.8,n95-1
16.818750381,60,0.820833325,0.8,n103-1
16.955207825,76,0.269791663,0.8,n96-1
17.218750000,75,0.311458319,0.8,n97-1
17.390625000,76,0.234375000,0.8,n98-1
17.621875763,75,0.212500006,0.8,n99-1
17.641666412,55,0.789583325,0.8,n104-1
17.825000763,76,0.201041669,0.8,n100-1
18.035417557,77,0.243750006,0.8,n101-1
18.243749619,76,0.083333336,0.8,n102-1
18.471874237,76,0.203125000,0.8,n105-1
18.482292175,65,1.082291722,0.8,n113-1
18.700000763,74,0.185416669,0.8,n106-1
18.904167175,73,0.213541672,0.8,n107-1
19.092708588,74,0.198958337,0.8,n108-1
19.320833206,73,0.204166666,0.8,n109-1
19.350000381,55,0.331250012,0.8,n114-1
19.497917175,74,0.183333337,0.8,n110-1
19.711458206,76,0.194791660,0.8,n111-1
19.908332825,74,0.090625003,0.8,n112-1
20.145833969,81,0.174999997,0.8,n115-1
20.154167175,64,1.394791722,0.8,n124-1
20.161458969,55,1.380208373,0.8,n123-1
20.344791412,79,0.190624997,0.8,n116-1
20.557291031,78,0.179166660,0.8,n117-1
20.740625381,79,0.241666660,0.8,n118-1
20.955207825,88,0.509374976,0.8,n119-1
21.171875000,84,0.275000006,0.8,n120-1
21.371875763,81,0.213541672,0.8,n121-1
21.575000763,79,0.089583330,0.8,n122-1
21.796875000,79,0.186458334,0.8,n125-1
21.819791794,62,1.456249952,0.8,n134-1
21.822916031,55,1.402083278,0.8,n133-1
21.988542557,77,0.220833331,0.8,n126-1
22.219791412,76,0.188541666,0.8,n127-1
22.434375763,77,0.208333328,0.8,n128-1
