onset_sec,duration_sec,pitch,velocity,track,channel,id
0.125,0.072916664,48,60,0,0,n0
0.12604167,0.08541667,74,67,0,0,n1
0.22916667,0.072916664,72,62,0,0,n2
0.325,0.077083334,71,65,0,0,n3
0.428125,0.084375,72,67,0,0,n4
0.53125,0.08645833,60,58,0,0,n5
0.5395833,0.054166667,71,68,0,0,n6
0.65,0.0375,72,58,0,0,n7
0.7270833,0.08541667,71,71,0,0,n8
0.81666666,0.08125,72,61,0,0,n9
0.9145833,0.09791667,81,69,0,0,n10
0.9166667,0.090625,64,51,0,0,n11
1.0458333,0.08229167,79,69,0,0,n12
1.1364583,0.0625,78,67,0,0,n13
1.2291666,0.083333336,79,58,0,0,n14
1.3333334,0.055208333,78,68,0,0,n15
1.3385416,0.059375,60,49,0,0,n16
1.4166666,0.08229167,79,59,0,0,n17
1.5177083,0.079166666,78,67,0,0,n18
1.6020833,0.08541667,79,63,0,0,n19
1.7135416,0.10625,80,68,0,0,n20
1.7729167,0.071875,65,47,0,0,n21
1.83125,0.16041666,81,67,0,0,n22
1.9489583,0.11875,84,62,0,0,n23
2.0333333,0.1125,83,62,0,0,n24
2.140625,0.11770833,86,69,0,0,n25
2.1864583,0.08229167,60,47,0,0,n26
2.2302084,0.11875,84,65,0,0,n27
2.3135417,0.08229167,83,66,0,0,n28
2.4104166,0.027083334,81,55,0,0,n29
2.5645833,0.088541664,81,67,0,0,n30
2.5895834,0.36354166,64,52,0,0,n31
2.5916667,0.39895833,60,50,0,0,n32
2.6854167,0.09791667,79,68,0,0,n33
2.7885416,0.10104167,88,69,0,0,n34
2.8635416,0.14791666,86,69,0,0,n35
2.978125,0.096875,84,65,0,0,n36
3.0552084,0.08125,83,61,0,0,n37
3.14375,0.042708334,81,68,0,0,n38
3.2666667,0.047916666,61,60,0,0,n39
3.2729166,0.040625,79,66,0,0,n40
3.3989584,0.08645833,79,73,0,0,n41
3.4208333,0.45208332,62,66,0,0,n42
3.5166667,0.094791666,77,68,0,0,n43
3.621875,0.12916666,86,78,0,0,n44
3.7125,0.15625,84,70,0,0,n45
3.8239584,0.11354167,83,63,0,0,n46
3.8916667,0.060416665,81,64,0,0,n47
3.9927084,0.027083334,79,59,0,0,n48
4.0822916,0.059375,59,63,0,0,n49
4.109375,0.033333335,77,42,0,0,n50
4.234375,0.0625,77,74,0,0,n51
4.2604165,0.36458334,60,60,0,0,n52
4.3302083,0.09583333,76,68,0,0,n53
4.4416666,0.12291667,84,73,0,0,n54
4.5291667,0.16875,83,71,0,0,n55
4.64375,0.10104167,81,59,0,0,n56
4.7208333,0.07604167,79,62,0,0,n57
4.813542,0.057291668,77,60,0,0,n58
4.9239583,0.12604167,76,68,0,0,n59
4.9354167,0.12083333,57,56,0,0,n60
5.06875,0.21979167,74,68,0,0,n61
5.101042,0.23229167,53,57,0,0,n62
5.2708335,0.221875,81,64,0,0,n63
5.498958,0.17916666,79,64,0,0,n64
5.5270834,0.15625,55,53,0,0,n65
5.73125,0.196875,71,57,0,0,n66
5.934375,0.084375,60,53,0,0,n67
5.9489584,0.70208335,72,63,0,0,n68
6.1854167,0.058333334,55,50,0,0,n69
6.3770833,0.059375,52,57,0,0,n70
6.60625,0.05625,55,59,0,0,n71
6.813542,0.08541667,48,67,0,0,n72
6.827083,0.0875,74,62,0,0,n73
6.921875,0.063541666,72,61,0,0,n74
7.016667,0.055208333,71,59,0,0,n75
7.10625,0.08541667,72,63,0,0,n76
7.204167,0.078125,71,65,0,0,n77
7.211458,0.06979167,60,55,0,0,n78
7.311458,0.0625,72,57,0,0,n79
7.3958335,0.09375,71,68,0,0,n80
7.5125,0.057291668,72,63,0,0,n81
7.59375,0.090625,64,57,0,0,n82
7.5958333,0.103125,81,65,0,0,n83
7.733333,0.075,79,69,0,0,n84
7.821875,0.0625,78,69,0,0,n85
7.9104166,0.088541664,79,57,0,0,n86
8.01875,0.07083333,78,69,0,0,n87
8.030209,0.060416665,60,51,0,0,n88
8.10625,0.07604167,79,62,0,0,n89
8.211458,0.051041666,78,64,0,0,n90
8.301042,0.061458334,79,71,0,0,n91
8.407291,0.10729167,80,67,0,0,n92
8.444792,0.058333334,65,46,0,0,n93
8.515625,0.10104167,81,67,0,0,n94
8.608334,0.13541667,84,63,0,0,n95
8.729167,0.083333336,83,56,0,0,n96
8.815625,0.1,86,64,0,0,n97
8.830209,0.109375,60,42,0,0,n98
8.894792,0.104166664,84,67,0,0,n99
8.972917,0.059375,83,65,0,0,n100
9.072917,0.032291666,81,38,0,0,n101
9.201041,0.077083334,81,66,0,0,n102
9.215625,0.33958334,60,52,0,0,n103
9.228125,0.28958333,64,49,0,0,n104
9.315625,0.09791667,79,65,0,0,n105
9.419791,0.103125,88,67,0,0,n106
9.503125,0.13854167,86,67,0,0,n107
9.616667,0.108333334,84,64,0,0,n108
9.6875,0.06875,83,61,0,0,n109
9.772917,0.046875,81,65,0,0,n110
9.890625,0.035416666,79,68,0,0,n111
9.905209,0.058333334,61,59,0,0,n112
10.022917,0.094791666,79,64,0,0,n113
10.057292,0.35104167,62,67,0,0,n114
10.135417,0.084375,77,67,0,0,n115
10.247916,0.11875,86,78,0,0,n116
10.333333,0.16041666,84,69,0,0,n117
10.445833,0.10625,83,62,0,0,n118
10.514584,0.0625,81,60,0,0,n119
10.628125,0.030208332,79,48,0,0,n120
10.695833,0.036458332,77,68,0,0,n121
10.714583,0.058333334,59,56,0,0,n122
10.836458,0.08958333,77,64,0,0,n123
10.871875,0.35208333,60,63,0,0,n124
10.946875,0.08125,76,69,0,0,n125
11.059375,0.10625,84,68,0,0,n126
11.153125,0.12916666,83,66,0,0,n127
