onset_sec,duration_sec,pitch,velocity,track,channel,id
0.022916667,0.063541666,48,49,0,0,n0
0.025,0.077083334,74,55,0,0,n1
0.1375,0.08645833,72,56,0,0,n2
0.24791667,0.05625,71,52,0,0,n3
0.340625,0.094791666,72,50,0,0,n4
0.446875,0.08125,60,52,0,0,n5
0.45520833,0.061458334,71,56,0,0,n6
0.58020836,0.0375,72,42,0,0,n7
0.653125,0.10208333,71,61,0,0,n8
0.753125,0.08958333,72,55,0,0,n9
0.853125,0.128125,64,53,0,0,n10
0.8802083,0.057291668,81,51,0,0,n11
0.978125,0.10104167,79,61,0,0,n12
1.0979167,0.0625,78,62,0,0,n13
1.2,0.078125,79,55,0,0,n14
1.303125,0.06458333,60,42,0,0,n15
1.3166667,0.079166666,78,58,0,0,n16
1.425,0.063541666,79,59,0,0,n17
1.5291667,0.07083333,78,61,0,0,n18
1.6302084,0.083333336,79,64,0,0,n19
1.7364583,0.114583336,80,64,0,0,n20
1.7458333,0.16770834,65,48,0,0,n21
1.8427083,0.121875,81,63,0,0,n22
1.965625,0.121875,84,59,0,0,n23
2.0729167,0.1125,83,59,0,0,n24
2.1833334,0.119791664,86,65,0,0,n25
2.2125,0.16458334,60,39,0,0,n26
2.3010416,0.110416666,84,63,0,0,n27
2.3979166,0.09791667,83,57,0,0,n28
2.4864583,0.053125,81,61,0,0,n29
2.6552083,0.484375,60,45,0,0,n30
2.659375,0.08125,81,75,0,0,n31
2.6614583,0.45208332,64,48,0,0,n32
2.7760417,0.13333334,79,63,0,0,n33
2.90625,0.12604167,88,73,0,0,n34
3.0104167,0.13958333,86,70,0,0,n35
3.13125,0.12604167,84,67,0,0,n36
3.2302084,0.08020833,83,63,0,0,n37
3.3239584,0.052083332,81,58,0,0,n38
3.4375,0.06875,61,57,0,0,n39
3.45625,0.0375,79,69,0,0,n40
3.5822916,0.09791667,79,68,0,0,n41
3.6,0.6125,62,65,0,0,n42
3.70625,0.104166664,77,68,0,0,n43
3.8322916,0.115625,86,79,0,0,n44
3.9354167,0.14791666,84,74,0,0,n45
4.061458,0.12916666,83,62,0,0,n46
4.153125,0.08958333,81,70,0,0,n47
4.2708335,0.055208333,79,58,0,0,n48
4.360417,0.052083332,59,62,0,0,n49
4.3645835,0.033333335,77,72,0,0,n50
4.507292,0.09166667,77,68,0,0,n51
4.522917,0.653125,60,66,0,0,n52
4.626042,0.10729167,76,67,0,0,n53
4.746875,0.13645834,84,75,0,0,n54
4.8552084,0.16354166,83,73,0,0,n55
4.983333,0.12083333,81,64,0,0,n56
5.0760417,0.088541664,79,69,0,0,n57
5.1854167,0.088541664,77,63,0,0,n58
5.2833333,0.18958333,57,57,0,0,n59
5.2927084,0.10520833,76,69,0,0,n60
5.429167,0.27916667,74,68,0,0,n61
5.4583335,0.49166667,53,61,0,0,n62
5.6927085,0.22083333,81,62,0,0,n63
5.9239583,0.20833333,79,65,0,0,n64
5.94375,0.30104166,55,59,0,0,n65
6.15,0.24375,71,59,0,0,n66
6.39375,0.62291664,72,60,0,0,n67
6.41875,0.12916666,60,46,0,0,n68
6.884375,0.25104168,48,45,0,0,n69
7.382292,0.06979167,81,63,0,0,n70
7.3864584,0.092708334,64,51,0,0,n71
7.4822917,0.063541666,79,63,0,0,n72
7.615625,0.058333334,78,56,0,0,n73
7.710417,0.055208333,79,61,0,0,n74
7.825,0.114583336,78,60,0,0,n75
7.8395834,0.090625,55,39,0,0,n76
7.928125,0.09375,79,53,0,0,n77
8.05,0.103125,81,51,0,0,n78
8.134375,0.05,79,62,0,0,n79
8.289583,0.123958334,62,57,0,0,n80
8.3125,0.096875,79,67,0,0,n81
8.404166,0.079166666,77,60,0,0,n82
8.507292,0.088541664,76,58,0,0,n83
8.651042,0.047916666,77,45,0,0,n84
8.721875,0.1,76,58,0,0,n85
8.751041,0.103125,55,43,0,0,n86
8.825,0.08229167,77,58,0,0,n87
8.930208,0.1125,79,60,0,0,n88
9.046875,0.034375,77,57,0,0,n89
9.167708,0.14583333,60,58,0,0,n90
9.179167,0.12291667,77,65,0,0,n91
9.2875,0.092708334,76,62,0,0,n92
9.397917,0.083333336,75,65,0,0,n93
9.509375,0.072916664,76,63,0,0,n94
9.614583,0.096875,55,47,0,0,n95
9.622916,0.11145833,75,66,0,0,n96
9.741667,0.059375,76,60,0,0,n97
9.825,0.10520833,77,69,0,0,n98
9.929167,0.04375,76,61,0,0,n99
10.065625,0.077083334,76,77,0,0,n100
10.066667,0.11770833,65,57,0,0,n101
10.1875,0.07395833,74,65,0,0,n102
10.294791,0.0875,73,62,0,0,n103
10.413542,0.072916664,74,63,0,0,n104
10.528125,0.08020833,73,58,0,0,n105
10.541667,0.077083334,55,43,0,0,n106
10.640625,0.067708336,74,64,0,0,n107
10.760417,0.051041666,76,60,0,0,n108
10.836458,0.06979167,74,64,0,0,n109
10.988542,0.7416667,64,55,0,0,n110
11.0,0.094791666,81,71,0,0,n111
11.003125,0.71979165,55,50,0,0,n112
11.114583,0.10520833,79,68,0,0,n113
11.23125,0.1,78,67,0,0,n114
11.336458,0.16458334,79,69,0,0,n115
11.454166,0.1875,88,75,0,0,n116
11.582292,0.17604166,84,68,0,0,n117
11.69375,0.09583333,81,65,0,0,n118
11.786458,0.07395833,79,68,0,0,n119
11.942708,0.0875,79,61,0,0,n120
11.966666,0.6979167,62,47,0,0,n121
11.982291,0.6625,55,38,0,0,n122
12.057292,0.11145833,77,66,0,0,n123
12.18125,0.072916664,76,60,0,0,n124
12.277083,0.11145833,77,56,0,0,n125
12.394792,0.228125,86,68,0,0,n126
12.530209,0.14166667,83,60,0,0,n127
12.659375,0.059375,79,39,0,0,n128
12.667708,0.036458332,81,51,0,0,n129
12.7375,0.06458333,77,61,0,0,n130
12.891666,0.084375,77,50,0,0,n131
12.892709,0.55,60,48,0,0,n132
12.913542,0.53020835,55,43,0,0,n133
12.991667,0.10520833,76,68,0,0,n134
13.11875,0.103125,75,65,0,0,n135
13.235416,0.12291667,76,64,0,0,n136
13.339583,0.11666667,84,65,0,0,n137
13.467709,0.12291667,79,69,0,0,n138
13.589583,0.10104167,77,56,0,0,n139
13.659375,0.21354167,60,42,0,0,n140
13.692708,0.12916666,76,60,0,0,n141
13.866667,0.46979168,79,65,0,0,n142
13.877084,0.60729164,55,45,0,0,n143
13.888541,0.48020834,64,51,0,0,n144
14.347917,0.16354166,76,57,0,0,n145
14.354167,0.17083333,60,46,0,0,n146
14.516666,0.32916668,59,58,0,0,n147
14.523958,0.34270832,74,55,0,0,n148
15.063541,0.109375,48,58,0,0,n149
15.073958,0.1,74,57,0,0,n150
15.16875,0.09583333,72,62,0,0,n151
15.2875,0.07083333,71,59,0,0,n152
15.402083,0.08958333,72,52,0,0,n153
15.5125,0.0625,60,57,0,0,n154
15.515625,0.06979167,71,63,0,0,n155
15.64375,0.061458334,72,51,0,0,n156
15.73125,0.103125,71,66,0,0,n157
15.8375,0.08125,72,63,0,0,n158
15.944792,0.16458334,64,53,0,0,n159
15.952084,0.109375,81,63,0,0,n160
