onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
0.0,1.0,0.0,1.0,0,4,48,6,n9-1
0.0,0.25,0.0,0.25,0,1,74,1,n1-1
0.25,0.25,0.25,0.25,1,1,72,1,n2-1
0.5,0.25,0.5,0.25,2,1,71,1,n3-1
0.75,0.25,0.75,0.25,3,1,72,1,n4-1
1.0,1.0,1.0,1.0,4,4,60,6,n10-1
1.0,0.25,1.0,0.25,4,1,71,1,n5-1
1.25,0.25,1.25,0.25,5,1,72,1,n6-1
1.5,0.25,1.5,0.25,6,1,71,1,n7-1
1.75,0.25,1.75,0.25,7,1,72,1,n8-1
2.0,1.0,2.0,1.0,8,4,64,6,n19-1
2.0,0.25,2.0,0.25,8,1,81,1,n11-1
2.25,0.25,2.25,0.25,9,1,79,1,n12-1
2.5,0.25,2.5,0.25,10,1,78,1,n13-1
2.75,0.25,2.75,0.25,11,1,79,1,n14-1
3.0,1.0,3.0,1.0,12,4,60,6,n20-1
3.0,0.25,3.0,0.25,12,1,78,1,n15-1
3.25,0.25,3.25,0.25,13,1,79,1,n16-1
3.5,0.25,3.5,0.25,14,1,78,1,n17-1
3.75,0.25,3.75,0.25,15,1,79,1,n18-1
4.0,1.0,4.0,1.0,16,4,65,6,n29-1
4.0,0.25,4.0,0.25,16,1,80,1,n21-1
4.25,0.25,4.25,0.25,17,1,81,1,n22-1
4.5,0.25,4.5,0.25,18,1,84,1,n23-1
4.75,0.25,4.75,0.25,19,1,83,1,n24-1
5.0,1.0,5.0,1.0,20,4,60,6,n30-1
5.0,0.25,5.0,0.25,20,1,86,1,n25-1
5.25,0.25,5.25,0.25,21,1,84,1,n26-1
5.5,0.25,5.5,0.25,22,1,83,1,n27-1
5.75,0.25,5.75,0.25,23,1,81,1,n28-1
6.0,1.0,6.0,1.0,24,4,60,6,n39-1
6.0,1.0,6.0,1.0,24,4,64,6,n40-1
6.0,0.25,6.0,0.25,24,1,81,1,n31-1
6.25,0.25,6.25,0.25,25,1,79,1,n32-1
6.5,0.25,6.5,0.25,26,1,88,1,n33-1
6.75,0.25,6.75,0.25,27,1,86,1,n34-1
7.0,0.25,7.0,0.25,28,1,84,1,n35-1
7.25,0.25,7.25,0.25,29,1,83,1,n36-1
7.5,0.25,7.5,0.25,30,1,81,1,n37-1
7.75,0.25,7.75,0.25,31,1,61,6,n42-1
7.75,0.25,7.75,0.25,31,1,79,1,n38-1
8.0,1.0,8.0,1.0,32,4,62,6,n51-1
8.0,0.25,8.0,0.25,32,1,79,1,n43-1
8.25,0.25,8.25,0.25,33,1,77,1,n44-1
8.5,0.25,8.5,0.25,34,1,86,1,n45-1
8.75,0.25,8.75,0.25,35,1,84,1,n46-1
9.0,0.25,9.0,0.25,36,1,83,1,n47-1
9.25,0.25,9.25,0.25,37,1,81,1,n48-1
9.5,0.25,9.5,0.25,38,1,79,1,n49-1
9.75,0.25,9.75,0.25,39,1,59,6,n53-1
9.75,0.25,9.75,0.25,39,1,77,1,n50-1
10.0,1.0,10.0,1.0,40,4,60,6,n62-1
10.0,0.25,10.0,0.25,40,1,77,1,n54-1
10.25,0.25,10.25,0.25,41,1,76,1,n55-1
10.5,0.25,10.5,0.25,42,1,84,1,n56-1
