onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
0.0,1.0,0.0,1.0,0,4,48,6,n9-1
0.0,0.25,0.0,0.25,0,1,74,1,n1-1
0.25,0.25,0.25,0.25,1,1,72,1,n2-1
0.5,0.25,0.5,0.25,2,1,71,1,n3-1
0.75,0.25,0.75,0.25,3,1,72,1,n4-1
1.0,1.0,1.0,1.0,4,4,60,6,n10-1
1.0,0.25,1.0,0.25,4,1,71,1,n5-1
1.25,0.25,1.25,0.25,5,1,72,1,n6-1
1.5,0.25,1.5,0.25,6,1,71,1,n7-1
1.75,0.25,1.75,0.25,7,1,72,1,n8-1
2.0,1.0,2.0,1.0,8,4,64,6,n19-1
2.0,0.25,2.0,0.25,8,1,81,1,n11-1
2.25,0.25,2.25,0.25,9,1,79,1,n12-1
2.5,0.25,2.5,0.25,10,1,78,1,n13-1
2.75,0.25,2.75,0.25,11,1,79,1,n14-1
3.0,1.0,3.0,1.0,12,4,60,6,n20-1
3.0,0.25,3.0,0.25,12,1,78,1,n15-1
3.25,0.25,3.25,0.25,13,1,79,1,n16-1
3.5,0.25,3.5,0.25,14,1,78,1,n17-1
3.75,0.25,3.75,0.25,15,1,79,1,n18-1
