TIME,LABEL
0.055208333,0.0
0.394791663,1.0
0.691145837,2.0
1.030729175,3.0
1.356770754,4.0
1.694270849,5.0
2.019097328,6.0
2.377083302,7.0
2.727083206,8.0
3.120833397,9.0
3.460937500,10.0
3.811458349,11.0
4.143750191,12.0
4.534895897,13.0
4.919270992,14.0
5.273958206,15.0
5.590624809,16.0
5.935416222,17.0
6.267708302,18.0
6.601562500,19.0
6.928124905,20.0
7.264062405,21.0
7.598958492,22.0
7.990104675,23.0
8.330903053,24.0
8.698958397,25.0
9.047570229,26.0
9.403124809,27.0
9.754513741,28.0
10.121874809,29.0
10.495486259,30.0
10.927604675,31.0
11.239062309,32.0
11.554166794,33.0
11.884374619,34.0
12.248437881,35.0
12.605207443,36.0
12.965104103,37.0
13.286109924,38.0
13.639583588,39.0
13.984895706,40.0
14.327083588,41.0
14.685937881,42.0
15.012499809,43.0
15.375520706,44.0
15.780729294,45.0
16.192188263,46.0
16.587499619,47.0
