TIME,LABEL
0.032812499,0.0
0.481249988,1.0
0.895833373,2.0
1.383854151,3.0
1.831770897,4.0
2.298437595,5.0
2.749652863,6.0
3.202083349,7.0
3.682291508,8.0
4.152083397,9.0
4.613541603,10.0
5.114583492,11.0
5.599479198,12.0
6.093750000,13.0
6.605729103,14.0
7.081250191,15.0
7.548437595,16.0
7.989583015,17.0
8.467187881,18.0
8.909375191,19.0
9.351562500,20.0
9.782291412,21.0
10.216146469,22.0
10.689582825,23.0
11.149653435,24.0
11.594791412,25.0
12.101735115,26.0
12.526041985,27.0
13.009028435,28.0
13.436458588,29.0
13.984027863,30.0
14.727083206,31.0
15.417708397,32.0
15.866146088,33.0
16.333854675,34.0
16.805208206,35.0
17.231769562,36.0
17.691146851,37.0
18.152082443,38.0
18.625000000,39.0
19.076042175,40.0
19.568750381,41.0
20.015625000,42.0
20.492708206,43.0
20.954687119,44.0
21.445312500,45.0
21.953125000,46.0
22.544792175,47.0
